TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	Days	B2	0/8
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	daysInMonth	B2	0/6
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	HoursInFirstDay	B7	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	HoursInFirstDay	B27	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	HoursInFirstDay	B47	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	HoursInLastDay	B15	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	HoursInLastDay	B35	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	HoursInLastDay	B55	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	MinutesInFirstDay	B7	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	MinutesInFirstDay	B27	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	MinutesInFirstDay	B47	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	MinutesInLastDay	B15	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	MinutesInLastDay	B35	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	MinutesInLastDay	B55	4/9
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitHour	B67	4/7
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitHour	B71	3/5
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitHour	B75	2/4
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitHour	B79	1/3
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitMinute	B67	4/7
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitMinute	B71	3/5
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitMinute	B75	2/4
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ExitMinute	B79	1/3
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedHour	B67	4/7
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedHour	B71	3/5
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedHour	B75	2/4
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedHour	B76	1/3
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedMinute	B67	4/7
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedMinute	B71	3/5
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedMinute	B75	2/4
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	ParkedMinute	B76	1/3
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B2	20/41
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B7	20/35
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B15	11/18
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B23	2/4
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B27	20/34
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B35	11/18
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B43	2/4
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B47	20/32
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B55	11/18
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B63	2/4
TotalTime	public static int[] CalculateTime(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	hour	B67	20/33
